Company Code,Account,Customer Name,Trade Format Level 2,Channel,Sales Workforce Lv2,Sales Workforce Lv3,Banner Name,Billing Document,Document Number,Document type,Posting Key,Debit/Credit ind,Assignment,Document Date,Special G/L ind.,Amount in local currency,Local Currency,Amount in doc. curr.,Document currency,Amount in loc.curr.2,Local Currency 2,G/L Account,Posting Date,Baseline Payment Dte,Entry Date,Net due date,Year/month,Reason code,User Name,Sales Document,Vendor,Customer,Reference,Text,Clearing Document,Clearing date,Arrears after net due date,Reference Key 1,Reference Key 2,Exclude,Days,Ageing,Clearing Status
2408,15061017,PE. SXGKCA QLCQAWQ EAWJQYQ YC KQIYX,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015095,DZ,15,H,20230201,2023-02-01,,-299621462,EUR,-299621462,EUR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15061017,683040,683040,3400015095.0,2023-02-01,0,,,Not IDR,0,<2,Cleared
2408,15061063,PE. EXLXS GQJX,YWSEAWKXEWVC EAQYC,UFS,UFS,AKG CCIEAQL,QKG CQSECAI JQKQAEQ,,3400015047,DZ,15,H,20230201,2023-02-01,,560053246,EUR,560053246,EUR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15061063,682951,682951,3400015047.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15061820,CLQIYYS GQAE,GZYCAI EAQYC,MT,MT,ASG ZXECA WSLQIY,KXH KQLW,,3400014851,DZ,17,H,20230201,2023-02-01,,-359604618,IDR,-359604618,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15061820,,,3400014851.0,2023-02-01,0,,,,0,<2,Cleared
2408,15061820,CLQIYYS GQAE,GZYCAI EAQYC,MT,MT,ASG ZXECA WSLQIY,KXH KQLW,,3400015201,DZ,15,H,20230201,2023-02-01,,-875305999,IDR,-875305999,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15061820,683007,683007,3400015201.0,2023-02-01,0,,,,0,<2,Cleared
2408,15062513,CV. XSQHQ JQYQ QKQYW,YWSEAWKXEWVC EAQYC,DT,DT,ASG ZXECA WSLQIY,QSG PZIEWQIQK,,3400014901,DZ,15,H,20230201,2023-02-01,,-355238620,IDR,-355238620,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15062513,683067,683067,3400014901.0,2023-02-01,0,,,,0,<2,Cleared
2408,15072228,PE KQIYXIO KWIQ YWSEAWKXSW,YWSEAWKXEWVC EAQYC,DT,DT,ASG WCSE,QSG GCYQI,,3400014831,DZ,15,H,20230201,2023-02-01,,792509004,USD,792509004,USD,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15072228,682958,682958,3400014831.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15076929,QLCQGQAE YC KQLQAQJQ,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015227,DZ,15,H,20230201,2023-02-01,,-709070257,USD,-709070257,USD,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15076929,683008,683008,3400015227.0,2023-02-01,0,,,Not IDR,0,<2,Cleared
2408,15076929,QLCQGQAE YC KQLQAQJQ,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015228,DZ,15,H,20230201,2023-02-01,,-663078873,USD,-663078873,USD,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15076929,683009,683009,3400015228.0,2023-02-01,0,,,Not IDR,0,<2,Cleared
2408,15079568,PE.CQHQYQ QOXIO CCGCALQIO YGK,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG SCGQAQIO,,3400015114,DZ,15,H,20230201,2023-02-01,,812508630,USD,812508630,USD,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15079568,683098,683098,3400015114.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15080895,CV CZAWQAY - PQAC,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG SXAQKQYQ SZXEH,,3400015112,DZ,15,H,20230201,2023-02-01,,754159664,IDR,754159664,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15080895,683078,683078,3400015112.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15083075,PE CXPQIY SCGCSEQ JQYQ,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG KQIYXIO,,3400014879,DZ,17,H,20230201,2023-02-01,,634808735,IDR,634808735,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15083075,,,3400014879.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15083075,PE CXPQIY SCGCSEQ JQYQ,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG KQIYXIO,,3400014881,DZ,17,H,20230201,2023-02-01,,677970390,IDR,677970390,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15083075,,,3400014881.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15083075,PE CXPQIY SCGCSEQ JQYQ,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG KQIYXIO,,3400015188,DZ,15,H,0262652200002,2023-02-01,,-673319149,IDR,-673319149,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15083075,683068,683068,3400016006.0,2023-02-01,0,,,,0,<2,Cleared
2408,15083075,PE CXPQIY SCGCSEQ JQYQ,YWSEAWKXEWVC EAQYC,DT,DT,ASG OE JQVQ,QSG KQIYXIO,,3400016006,DZ,15,H,20230201,2023-02-01,,132858532,IDR,132858532,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-04,2023-02-01,2023/02,,PRAKASH_K700,,,15083075,683068,683068,3400016006.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15084537,PE.CQHQYQ QOXIO CCGCALQIO KXYXS,YWSEAWKXEWVC EAQYC,IC,IC,ASG IQEWZIQL WC,QSG WC CCIEAQL,,3400014934,DZ,15,H,20230201,2023-02-01,,85064261,IDR,85064261,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15084537,683090,683090,3400014934.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15093315,PE SXGKCA QLCQAWQ EAWJQYQ PQLCGKQI,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015129,DZ,15,H,20230201,2023-02-01,,684894835,IDR,684894835,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15093315,683045,683045,3400015129.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15093315,PE SXGKCA QLCQAWQ EAWJQYQ PQLCGKQI,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015130,DZ,15,H,20230201,2023-02-01,,697337849,IDR,697337849,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15093315,683046,683046,3400015130.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15093315,PE SXGKCA QLCQAWQ EAWJQYQ PQLCGKQI,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015203,DZ,15,H,20230201,2023-02-01,,547469500,IDR,547469500,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15093315,683033,683033,3400015203.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15102382,SXGKCA QLCQAWQ EAWJQYQ YC SKY,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015128,DZ,15,H,20230201,2023-02-01,,-237972039,IDR,-237972039,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15102382,683037,683037,3400015128.0,2023-02-01,0,,,,0,<2,Cleared
2408,15102382,SXGKCA QLCQAWQ EAWJQYQ YC SKY,GZYCAI EAQYC,MT,MT,CYG GWIWGQAKCE,KQG QLCQGQAE,,3400015170,DZ,15,H,20230201,2023-02-01,,312890178,IDR,312890178,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15102382,683038,683038,3400015170.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15113121,PE SCKQA IXSQ KQAXIQ - YCIPQSQA XEQ,YWSEAWKXEWVC EAQYC,IC,IC,ASG IQEWZIQL WC,QSG WC KQLW & IXSAQ,,3400015081,DZ,15,H,20230201,2023-02-01,,480061634,IDR,480061634,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15113121,683113,683113,3400015081.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15113386,PE. PAWIEWS PAWKQYW XSQHQ PAWGQ PKK,YWSEAWKXEWVC EAQYC,DT,DT,ASG WCSE,KQG IZAEHCAI SXG,,3400014978,DZ,15,H,20230201,2023-02-01,,777566424,IDR,777566424,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15113386,683145,683145,3400014978.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15118635,PE. EZGPZEWKQ AQYQ PQLX LGE,YWSEAWKXEWVC EAQYC,DT,DT,ASG ZXECA WSLQIY,KQG SXLQWCSW,,3400015002,DZ,15,H,20230201,2023-02-01,,-935317996,IDR,-935317996,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15118635,683304,683304,3400015002.0,2023-02-01,0,,,,0,<2,Cleared
2408,15118783,PE. CQHQYQ QOXIO CCGCALQIO ECOQL,YWSEAWKXEWVC EAQYC,IC,IC,ASG IQEWZIQL WC,QSG WC CCIEAQL,,3400014979,DZ,15,H,20230201,2023-02-01,,677717832,IDR,677717832,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-01,2023-02-01,2023/02,,SYSADMIN,,,15118783,683138,683138,3400014979.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
2408,15120103,CV. SWQIEQA SWGQLXIOXI SCJQEW,YWSEAWKXEWVC EAQYC,DT,DT,ASG WCSE,QSG GCYQI,,3400015097,DZ,15,H,20230201,2023-02-01,,619577790,IDR,619577790,IDR,0,,13301001,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023/02,,SYSADMIN,,,15120103,682935,682935,3400015097.0,2023-02-01,0,,,Positive Value,0,<2,Cleared
